,Product,Business Object,Issue,Solution
0,C4C,SalesQuote,Preview,2367769 - You are Unable to Preview  The ERP Sales Quote Which Was Replicated to C4C        2719349 - Submit And Preview Options Are Missing in Sales Quote  Actions Menu      2581800 - Print Preview Of External Document Missing In Document Flow on an Order/Quote in C4C      2618160 - Common Print Preview Errors in a Sales Document's Document Flow in C4C    2710387 - Preview Option Is Missing From Sales Quotes      2608362 - Company Name not Displayed in Sales Quote Address Preview       2964883 - Customer Part Number is Not Displaying in Sales Quote Preview
1,C4C,SalesQuote,Price,2940435 - Product Price Missing From Sales Quote     2540049 - Errors When Requesting External Pricing in Sales Quotes      2952981 - Adjusted Item Price in Sales  Quotes      2660324 - Net Price and Net Value Appear as 0 in Sales Quote Preview    2772043 - KUT Fields Deleted After External Pricing in C4C       2486490 - Pricing components  not shown in the Quotes Replicated from ERP
2,C4C,SalesQuote,Copy,"3141807 - Sales Quote Copy BTD References     2647035 - Sales Quote Actions Has Only ""Copy"" Enabled       3239048 - It is not possible to copy a CPQ quote     2708103 - Which Fields are Copied when Creating a Copy of a Sales Document     2916333 - Party Roles Are Not Getting Copied In Sales Quote"
3,C4C,SalesQuote,Approval ,2578553 - Sales Quote Approval Status Changes From In Approval To Not Started     2661288 - Task Types Are Greyed Out for Approval for Sales Quotes in Business Configuration     3314225 - Approval Process Approver Reporting Line Manager Not Working for Sales Documents     2593969 - The Warning as Submit for Approval is Trigger While Creating a New Sales Quote     3189280 - Author and Timestamp in Approval Notes of Sales Quote are Changed with New Version
4,C4C,SalesQuote,Delete,2945512 - CPQ Sales Quote To Be Deleted From Cloud for Customer      2948734 - Delete Submitted Sales Quotes     2149760 - You Cannot See the Delete Icon to Delete a Product Inside a Sales Quote       2627855 - It is not Possible to Delete the Sales Quote      2417840 - You Cannot Delete Sales Quote With Status Approved
5,C4C,SalesQuote,XML payload ,2945585 - How to Obtain XML Payload For Sales Quote    2922710 - Registered Product Not Available in Sales Quote Output  XML
6,C4C,SalesQuote,Action ,"2629811 - Action Submit is Disabled For Sales Quote      2636210 - Submit Action In Sales Quote First Sends A Validation For The Quote then Saves   3196389 - 'Set to Won' Action is Grayed out for Replicated Sales Quotes     3226731 - 'Set to Won' action is greyed out as no Output is getting generated during the 'Submit' action     2748146 - Action ""Set as Lost"" Not Available in Sales Quote "
7,C4C,SalesQuote,Reapproval ,2717556 - Sales Quote Not Submitted For Reapproval      2885557 - Skip Reapproval in a Sales Quote is not working
8,C4C,SalesOrder,Offline ,3312264 - Seller Not Determined For Sales Order In Offline Mode        3096406 - Sales Order is Not Editable in Offline Mode      3096406 - Sales Order is Not Editable in Offline Mode      2658476 - Set as Complete action is not available for Sales Order in offline mode
9,C4C,SalesOrder,Pricing ,2608922 - Credit Status Issue with External Pricing for Sales Order/Quote         2656117 - Pricing Facet Not Visible in Sales Quote or Order     2665647 - Pricing Component Field In Sales Order
